Project,Tester,KPI,USL,LSL
Hummingbird,CMM+OMM,CMM+OMM FAI401,0.02,0
Hummingbird,CMM+OMM,CMM+OMM CPK403,0.001,0
Hummingbird,CMM+OMM,CMM+OMM CPK206.01 Diameter,0.55,0.45
Hummingbird,CMM+OMM,CMM+OMM CPK206.02 Diameter,0.55,0.45
Hummingbird,CMM+OMM,CMM+OMM CPK206.03 Diameter,0.55,0.45
Hummingbird,CMM+OMM,CMM+OMM CPK207.02 Diameter,1.05,0.95
Hummingbird,CMM+OMM,CMM+OMM CPK206.01 Location,0.05,0
Hummingbird,CMM+OMM,CMM+OMM CPK206.02 Location,0.05,0
Hummingbird,CMM+OMM,CMM+OMM CPK206.03 Location,0.05,0
Hummingbird,CMM+OMM,CMM+OMM CPK207.02 Location,0.05,0
Hummingbird,CMM+OMM,CMM+OMM CPK305 Thickness,3.599,3.569
Hummingbird,IMHR,IMHR EFL,14.588,-14.388
Hummingbird,IMHR,IMHR 2D MTF-T-0°,1,-0.93
Hummingbird,IMHR,IMHR 2D MTF-S-0°,1,-0.93
Hummingbird,IMHR,IMHR 2D MTF-T-(-15°),1,-0.93
Hummingbird,IMHR,IMHR 2D MTF-S-()-15°),1,-0.93
Hummingbird,IMHR,IMHR 2D MTF-T-15°,1,-0.93
Hummingbird,IMHR,IMHR 2D MTF-S-15°,1,-0.93
Hummingbird,Opticentric,OCL1S1,15,-15
Hummingbird,Opticentric,OCL1S2,15,-15
Hummingbird,Opticentric,OCL1tilt,15,-15
Hummingbird,Opticentric,OCL2S1,15,-15
Hummingbird,Opticentric,OCL2S2,15,-15
Hummingbird,Opticentric,OCL2tilt,15,-15
